Gender,NrOfDependants,Education,ExistingLiabilities,HomeOwnershipType,default
1,0,4,8,1,TRUE
0,1,4,7,8,TRUE
0,0,2,1,4,TRUE
0,1,4,9,6,FALSE
0,0,4,7,3,FALSE
1,0,4,7,9,FALSE
0,0,4,1,1,FALSE
0,1,2,10,1,FALSE
1,0,5,9,1,TRUE
0,0,3,12,3,FALSE
1,0,2,2,3,TRUE
0,0,4,9,2,TRUE
0,0,3,2,1,TRUE
0,0,4,3,8,FALSE
0,1,3,3,1,TRUE
0,0,2,8,1,FALSE
0,0,5,6,8,FALSE
1,1,3,4,3,FALSE
1,0,4,6,2,TRUE
1,0,4,8,4,FALSE
0,0,4,2,1,FALSE
1,1,4,9,8,TRUE
0,1,3,2,4,FALSE
1,0,2,1,3,FALSE
0,1,4,15,6,FALSE
0,0,2,9,1,FALSE
0,2,5,2,9,FALSE
1,0,4,10,4,TRUE
1,0,1,3,8,TRUE
0,0,5,17,8,TRUE
0,0,5,3,2,FALSE
1,1,4,2,1,FALSE
1,1,4,2,8,TRUE
1,0,5,3,2,FALSE
1,0,5,1,1,FALSE
0,1,2,5,7,TRUE
1,1,4,4,1,FALSE
1,0,4,15,1,FALSE
0,0,2,5,1,TRUE
1,0,4,6,3,FALSE
0,0,2,8,1,TRUE
1,2,4,2,7,FALSE
0,0,5,4,1,FALSE
0,3,3,3,8,FALSE
1,1,4,9,4,TRUE
0,0,4,5,1,FALSE
0,0,4,2,3,TRUE
0,2,4,3,7,TRUE
0,0,3,6,1,FALSE
0,2,4,8,8,TRUE
0,1,1,1,3,TRUE
0,0,3,9,8,FALSE
1,0,5,10,9,FALSE
1,0,5,2,1,FALSE
1,0,5,2,1,FALSE
1,1,4,7,9,FALSE
1,0,4,8,2,TRUE
1,0,4,6,1,FALSE
0,1,4,2,3,TRUE
0,4,2,7,1,TRUE
1,2,4,2,1,TRUE
1,2,5,2,1,FALSE
0,2,4,3,1,FALSE
1,0,2,7,5,FALSE
1,1,5,7,1,FALSE
1,0,4,4,1,FALSE
0,1,4,1,3,TRUE
0,2,4,5,1,TRUE
1,2,3,5,5,TRUE
1,1,2,4,2,FALSE
0,0,3,3,4,FALSE
1,1,4,6,2,TRUE
0,0,4,11,4,FALSE
0,2,4,5,1,TRUE
1,0,4,1,2,FALSE
0,2,5,7,8,TRUE
1,0,5,9,2,FALSE
0,0,4,2,8,FALSE
1,1,4,6,8,FALSE
1,1,5,5,1,TRUE
1,0,3,2,2,FALSE
0,2,5,5,1,FALSE
1,0,3,5,1,FALSE
0,0,5,6,2,FALSE
0,0,3,5,2,TRUE
1,1,4,9,1,FALSE
0,2,4,6,8,FALSE
0,0,4,2,7,FALSE
1,1,2,5,3,TRUE
0,1,5,5,1,FALSE
0,0,4,1,3,TRUE
0,2,4,8,3,FALSE
0,1,2,8,2,FALSE
0,1,4,7,6,FALSE
0,4,3,5,3,FALSE
1,0,4,7,1,TRUE
1,3,5,5,7,FALSE
1,0,4,8,3,FALSE
1,0,5,2,1,FALSE
1,0,2,4,1,FALSE
0,0,3,5,3,FALSE
1,0,5,5,2,TRUE
1,0,4,4,8,TRUE
0,0,1,5,2,FALSE
0,0,5,12,1,FALSE
0,1,4,4,1,FALSE
0,0,5,2,4,FALSE
1,1,2,3,4,FALSE
1,0,4,3,1,FALSE
0,1,4,11,8,FALSE
1,0,5,4,7,FALSE
0,0,3,3,3,TRUE
1,0,5,8,1,FALSE
1,3,5,11,8,FALSE
0,0,2,8,5,TRUE
0,0,4,8,4,FALSE
0,0,3,5,2,TRUE
0,0,4,3,1,FALSE
1,1,4,4,1,FALSE
1,2,4,4,7,FALSE
1,0,3,7,8,FALSE
0,0,5,8,3,TRUE
0,2,2,1,5,TRUE
0,0,4,7,1,FALSE
0,1,2,9,3,FALSE
0,2,5,1,4,FALSE
1,0,4,4,2,FALSE
1,2,5,6,8,TRUE
0,0,2,7,2,TRUE
1,2,4,5,1,TRUE
0,0,4,4,7,FALSE
0,0,4,3,2,FALSE
1,0,3,6,1,FALSE
0,1,2,4,1,FALSE
0,0,5,9,1,TRUE
1,0,4,1,1,FALSE
1,0,5,8,1,TRUE
0,0,3,4,1,TRUE
1,0,3,2,7,FALSE
0,0,4,3,1,FALSE
1,0,2,5,1,FALSE
0,0,2,3,7,FALSE
1,0,4,3,6,FALSE
0,1,4,4,1,FALSE
0,0,2,4,2,TRUE
0,0,2,5,3,TRUE
1,3,5,9,2,FALSE
1,0,5,7,1,FALSE
0,2,4,9,8,TRUE
1,1,5,5,8,TRUE
1,0,5,9,1,FALSE
1,1,4,4,1,TRUE
1,1,4,16,8,TRUE
0,2,4,3,7,TRUE
1,0,4,1,3,FALSE
1,1,5,2,7,TRUE
1,0,3,6,8,TRUE
0,1,5,7,1,FALSE
1,1,2,11,3,FALSE
1,0,5,3,1,TRUE
0,0,5,4,1,FALSE
1,0,4,6,5,FALSE
0,0,4,4,7,FALSE
0,0,2,4,3,FALSE
0,1,4,4,3,FALSE
1,0,5,15,1,FALSE
0,3,3,2,4,TRUE
1,0,4,9,2,TRUE
0,0,2,8,3,TRUE
